date_pub,statut_ex,bib,pret,diff_datecreation_datepub,acces,acq,indice
2001,19,SJA,1,16,direct,achat,33
2005,19,LASH,1,13,direct,don,868
2007,19,LASH,0,10,direct,achat,19
2007,19,SJA,0,13,direct,achat,65
1942,19,LASH,1,74,indirect,don,numinv
2005,19,SJA,1,11,direct,don,36
1954,19,LASH,0,62,direct,achat,19
2004,19,DROIT,1,11,direct,don,34
2013,19,DROIT,1,2,direct,don,34
1980,19,SJA,0,37,direct,don,15
2005,19,DROIT,1,14,direct,achat,34
2005,19,LASH,0,14,direct,achat,94
1968,19,LASH,1,49,direct,achat,19
2012,19,LASH,1,9,direct,don,81
1981,19,SJA,0,37,direct,don,51
1992,19,SJA,0,27,direct,don,30
1991,19,LASH,0,29,indirect,achat,numinv
2011,19,SJA,0,7,direct,achat,65
1992,19,SJA,1,24,direct,don,30
1992,19,LASH,0,29,direct,don,82
1988,19,LASH,0,32,indirect,achat,numinv
1976,19,SJA,0,42,direct,don,33
2013,19,SCIEN,0,3,direct,achat,62
1952,19,LASH,0,67,direct,achat,94
1983,19,SJA,0,38,direct,don,33
1965,19,DROIT,0,51,direct,achat,numinv
1969,19,SJA,0,51,direct,achat,33
1988,19,LASH,0,32,indirect,achat,numinv
1955,19,SCIEN,0,62,indirect,achat,numinv
1987,19,SJA,0,33,direct,don,33
2006,19,SJA,0,10,direct,don,96
1960,19,SJA,0,60,direct,achat,91
1964,19,LASH,0,56,indirect,achat,numinv
1968,19,SJA,1,49,direct,don,30
1994,19,LASH,1,25,direct,achat,94
2012,19,LASH,1,5,direct,achat,35
1972,19,LASH,1,48,direct,achat,19
2005,19,LASH,0,13,direct,don,84
1987,19,SJA,1,30,direct,don,44
1992,19,DROIT,0,24,direct,don,32
1991,19,SJA,0,27,direct,don,33
1982,19,DROIT,1,33,direct,don,94
2017,19,SCIEN,1,0,direct,achat,53
1991,19,SJA,0,26,direct,don,15
1993,19,DROIT,0,22,direct,don,34
2016,19,DROIT,1,1,direct,don,34
2016,19,SCIEN,1,2,direct,don,70
2017,19,LASH,1,1,direct,achat,49
1972,19,SJA,0,45,direct,don,30
2007,19,SJA,0,10,direct,don,84
2007,19,LASH,0,10,indirect,don,numinv
2011,19,MEDP,0,6,direct,achat,WB
2017,19,DROIT,1,0,direct,achat,34
1984,19,LASH,0,37,direct,don,15
2017,18,SJA,0,0,direct,achat,61
2017,19,DROIT,1,0,direct,achat,34
2017,19,DROIT,1,0,direct,achat,34
2017,19,DROIT,1,0,direct,achat,34
2017,19,SCIEN,1,0,direct,achat,55
2017,19,SCIEN,1,0,direct,achat,55
2003,19,LASH,1,14,direct,achat,84
2017,19,LASH,1,0,direct,achat,79
2017,19,EPU,1,0,direct,achat,62
1980,19,SJA,0,37,direct,don,30
2016,19,EPU,1,1,direct,achat,37
1974,19,SJA,0,43,direct,don,15
1999,19,DROIT,0,19,indirect,achat,numinv
2012,19,LASH,1,5,direct,achat,49
2016,19,SCIEN,1,1,direct,achat,66
2013,19,STAPS,1,4,direct,achat,37
2016,19,SJA,1,1,direct,achat,30
2003,19,LASH,1,14,indirect,don,numinv
2016,19,STAPS,1,2,direct,don,79
2010,19,LASH,0,7,indirect,don,numinv
1979,19,LASH,0,39,direct,don,80
1954,19,LASH,0,64,indirect,don,numinv
1998,19,LASH,0,20,direct,don,82
2004,19,LASH,0,13,indirect,don,numinv
1971,19,LASH,1,44,direct,don,15
2017,19,SCIEN,1,0,direct,achat,02
2017,19,SCIEN,1,0,direct,achat,02
2000,19,SJA,0,17,direct,don,62
1993,19,LASH,0,25,indirect,achat,numinv
1995,19,LASH,0,23,indirect,achat,numinv
2016,19,LASH,1,1,direct,achat,15
2015,19,LASH,1,2,direct,achat,70
2017,19,SCIEN,1,0,direct,achat,54
2017,19,SCIEN,1,0,direct,achat,61
2017,19,SCIEN,0,0,direct,achat,53
1996,19,LASH,0,22,indirect,achat,numinv
1997,19,LASH,0,21,indirect,achat,numinv
1997,19,LASH,0,21,indirect,achat,numinv
2017,19,SCIEN,1,0,direct,achat,53
2017,19,DROIT,1,0,direct,achat,34
2017,19,LASH,1,0,direct,achat,19
2016,19,LASH,1,1,direct,achat,19
2007,19,LASH,0,14,direct,don,49
2017,19,EPU,0,1,direct,achat,37
2017,19,EPU,0,0,direct,achat,65
1996,19,LASH,0,22,indirect,achat,numinv
1995,19,LASH,0,23,indirect,achat,numinv
2017,19,DROIT,0,0,direct,achat,34
2007,19,LASH,0,14,direct,don,49
1991,19,SJA,0,26,direct,don,00
1991,19,SJA,0,26,direct,don,00
1987,19,LASH,0,33,direct,achat,32
2003,19,LASH,0,15,indirect,achat,numinv
2017,18,MEDP,1,1,direct,achat,W 
2018,19,MEDP,1,0,direct,achat,WB
2017,18,MEDP,1,1,direct,achat,QZ
2013,19,SJA,1,2,direct,don,65
1988,19,LASH,1,29,direct,achat,94
1982,19,LASH,0,39,direct,achat,94
2017,19,LASH,0,1,direct,don,84
2015,19,LASH,0,3,direct,don,84
2016,19,LASH,1,1,direct,achat,15
2016,19,LASH,1,1,direct,achat,15
2015,19,LASH,1,2,direct,achat,15
2015,19,LASH,1,2,direct,achat,91
2010,19,SJA,0,6,indirect,achat,numinv
1989,19,SJA,0,28,direct,don,00
2005,19,LASH,0,12,indirect,don,numinv
1987,19,LASH,0,30,indirect,don,numinv
2000,19,LASH,1,17,indirect,don,numinv
2016,19,DROIT,0,1,direct,achat,34
2016,19,DROIT,0,1,direct,achat,34
2017,18,SJA,1,0,direct,achat,WH
2017,18,SJA,1,0,direct,achat,61
2017,19,DROIT,1,0,direct,achat,32
2001,19,LASH,0,16,indirect,don,numinv
2013,19,DROIT,1,2,direct,don,91
1952,19,LASH,0,66,direct,don,83
1927,19,LASH,0,91,indirect,don,numinv
2009,19,LASH,1,8,direct,achat,30
2017,19,SJA,1,0,direct,achat,65
2017,19,SCIEN,1,0,direct,achat,00
1994,19,DROIT,1,26,direct,don,34
2017,19,LASH,1,1,indirect,achat,numinv
2015,19,LASH,1,2,direct,achat,44
2017,19,LASH,1,0,direct,achat,44
2016,19,MEDP,0,3,direct,achat,W 
2017,19,DROIT,1,0,direct,achat,34
2017,19,EPU,0,0,direct,achat,30
2017,19,EPU,1,0,direct,achat,30
2017,19,SJA,1,0,direct,achat,33
2017,19,SCIEN,0,0,direct,achat,00
2017,19,DROIT,1,0,direct,achat,15
2017,19,DROIT,1,0,direct,achat,37
2017,19,DROIT,0,0,direct,achat,37
2017,19,LASH,0,0,direct,achat,19
2015,19,LASH,1,2,direct,achat,79
2017,19,DROIT,1,0,direct,achat,34
2005,19,LASH,0,13,direct,achat,30
1986,19,LASH,0,32,direct,don,84
2009,19,SJA,0,9,direct,achat,32
1972,19,SJA,0,45,direct,don,30
2017,19,SJA,1,1,direct,achat,33
2017,19,SCIEN,1,0,direct,achat,33
2008,19,SJA,0,8,direct,don,33
1965,19,DROIT,0,51,direct,achat,numinv
2013,19,SCIEN,1,2,direct,achat,61
2013,19,SCIEN,0,3,direct,achat,61
1971,19,LASH,0,49,indirect,achat,numinv
2007,19,SJA,0,10,direct,don,00
2017,19,DROIT,1,0,direct,don,34
2017,19,DROIT,1,0,direct,achat,34
1963,19,LASH,1,54,indirect,achat,numinv
1994,19,SJA,0,23,direct,don,15
1995,19,LASH,0,23,indirect,achat,numinv
2016,19,MEDP,0,1,direct,achat,WM
2017,19,DROIT,1,0,direct,don,34
1973,19,LASH,0,47,indirect,achat,numinv
2007,19,LASH,0,11,indirect,achat,numinv
2013,19,LASH,1,5,direct,don,45
2017,19,SJA,1,1,direct,achat,65
2016,19,DROIT,1,1,direct,achat,34
1997,19,LASH,1,18,direct,achat,19
1993,19,LASH,1,25,indirect,achat,numinv
2013,19,LASH,0,5,indirect,achat,numinv
2016,19,MEDP,1,1,direct,achat,WY
1990,19,SJA,0,27,direct,don,96
1957,19,SJA,0,60,direct,don,30
2016,19,SJA,1,1,direct,achat,WU
2017,18,MEDP,0,0,direct,achat,WG
2017,18,MEDP,1,0,direct,achat,WS
1968,19,LASH,1,49,direct,achat,79
1960,19,DROIT,0,56,direct,achat,numinv
1991,19,SJA,0,30,direct,don,33
2013,19,SJA,1,2,direct,achat,65
1989,19,DROIT,0,31,direct,don,94
2001,19,DROIT,0,16,direct,achat,34
2004,19,DROIT,1,13,direct,achat,34
2017,19,LASH,1,0,direct,achat,91
2017,19,DROIT,1,0,indirect,achat,numinv
2017,19,DROIT,1,0,direct,achat,34
2017,19,MEDP,0,3,direct,achat,WY
2017,19,MEDP,0,3,direct,achat,WY
2016,19,DROIT,0,1,direct,don,94
2009,19,SJA,1,7,direct,don,33
1986,19,DROIT,0,29,direct,don,94
2017,19,DROIT,0,0,direct,achat,32
2017,19,SJA,1,0,direct,achat,65
1979,19,LASH,0,41,direct,don,30
2017,19,EPU,1,0,direct,achat,65
2017,18,MEDP,1,0,direct,achat,WB
2017,18,SJA,1,0,direct,achat,61
2017,19,DROIT,1,0,direct,achat,34
2017,19,DROIT,1,0,direct,achat,34
2016,19,LASH,1,1,direct,achat,18
2011,19,DROIT,1,4,direct,don,34
2017,19,MEDP,1,0,direct,achat,WX
2017,19,SJA,1,0,direct,achat,33
2012,19,SJA,1,5,direct,achat,65
2005,19,LASH,0,12,direct,achat,41
2017,19,DROIT,1,0,indirect,achat,numinv
2017,19,DROIT,1,1,direct,don,34
2017,19,DROIT,1,0,direct,achat,34
2017,19,SCIEN,1,0,direct,achat,51
2017,19,DROIT,1,0,direct,achat,34
1992,19,LASH,0,26,indirect,achat,numinv
1988,19,LASH,0,30,indirect,achat,numinv
1991,19,LASH,1,27,indirect,achat,numinv
2003,19,LASH,1,14,direct,achat,84
1995,19,SJA,0,23,direct,don,33
2016,19,SJA,1,1,direct,achat,65
2017,19,MEDP,1,0,direct,achat,WY
2016,19,MEDP,1,1,direct,achat,WY
2000,19,SJA,0,17,direct,don,00
1995,19,LASH,0,23,indirect,achat,numinv
1996,19,LASH,0,22,indirect,achat,numinv
1997,19,LASH,0,21,indirect,achat,numinv
2017,19,MEDP,1,0,direct,achat,WL
2008,19,LASH,0,9,direct,achat,85
2016,19,DROIT,0,1,indirect,don,numinv
2017,19,DROIT,1,0,direct,achat,35
2008,19,LASH,0,9,indirect,don,numinv
2008,19,LASH,1,9,indirect,don,numinv
1997,19,LASH,0,21,indirect,achat,numinv
1996,19,LASH,0,22,indirect,achat,numinv
1988,19,LASH,0,30,indirect,achat,numinv
1995,19,LASH,0,23,indirect,achat,numinv
1999,19,LASH,0,19,indirect,achat,numinv
1992,19,LASH,0,26,indirect,achat,numinv
2012,19,SCIEN,0,5,direct,achat,62
2017,19,SCIEN,1,0,direct,achat,33
2017,19,DROIT,1,1,direct,achat,34
2016,19,SCIEN,0,1,direct,achat,02
1992,19,LASH,1,26,indirect,achat,numinv
1986,19,LASH,0,32,indirect,achat,numinv
1992,19,DROIT,0,26,direct,don,34
2014,19,DROIT,1,1,direct,achat,32
2011,19,LASH,1,9,direct,don,94
1993,19,LASH,1,24,direct,achat,42
2017,19,EPU,1,0,direct,achat,79
2008,19,LASH,0,9,indirect,don,numinv
2017,19,LASH,0,0,direct,achat,70
1996,19,LASH,0,22,indirect,achat,numinv
2017,19,DROIT,1,0,direct,don,32
2017,19,SCIEN,1,0,direct,achat,51
2017,19,SCIEN,1,0,direct,achat,51
2017,19,LASH,0,0,direct,achat,85
2017,19,SJA,1,0,direct,achat,34
2016,19,SJA,1,1,direct,achat,33
2017,19,DROIT,1,0,direct,achat,34
2017,19,DROIT,1,0,direct,achat,34
2017,19,DROIT,1,0,direct,achat,34
2017,19,SCIEN,1,1,direct,achat,00
2016,19,LASH,0,1,direct,achat,90
2009,19,LASH,0,8,direct,achat,85
2017,19,SCIEN,0,0,direct,achat,53
2016,19,DROIT,1,1,direct,don,32
1985,19,SJA,0,32,direct,don,84
2017,19,SCIEN,1,0,direct,achat,33
2017,18,SJA,1,0,direct,achat,WC
2013,19,SJA,0,2,direct,don,32
2016,19,DROIT,0,1,direct,achat,32
2006,19,LASH,1,11,direct,achat,77
2017,19,SCIEN,1,0,direct,achat,00
2017,19,SCIEN,1,0,direct,achat,00
2014,19,LASH,0,1,direct,achat,30
2017,19,SJA,1,2,direct,achat,33
1967,19,LASH,0,53,direct,achat,32
2000,19,LASH,0,18,indirect,achat,numinv
2000,19,LASH,0,18,indirect,achat,numinv
2017,19,SCIEN,0,1,direct,achat,33
2017,19,DROIT,0,0,indirect,achat,numinv
2017,19,DROIT,1,0,indirect,achat,numinv
1985,19,SJA,1,31,direct,don,32
1966,19,LASH,0,51,direct,don,85
2014,19,SJA,1,1,direct,achat,WU
1976,19,DROIT,0,39,direct,achat,numinv
1998,19,LASH,0,20,indirect,achat,numinv
1996,19,LASH,0,21,direct,achat,84
2016,19,LASH,0,1,direct,achat,79
2017,19,LASH,1,0,direct,achat,15
2007,19,LASH,0,10,direct,achat,82
2017,18,ARCHE,1,0,direct,achat,WK
2017,18,SJA,1,0,direct,achat,WF
2017,19,LASH,1,0,direct,achat,79
2009,19,DROIT,0,7,indirect,achat,numinv
2017,18,MEDP,1,0,direct,achat,WL
2017,19,DROIT,1,0,direct,achat,34
1992,19,SJA,0,25,direct,don,00
1988,19,DROIT,1,27,direct,don,94
1985,19,LASH,0,32,indirect,achat,numinv
1993,19,LASH,0,24,direct,achat,84
1994,19,SJA,0,23,direct,don,96
1991,19,SJA,1,26,direct,don,99
2017,18,MEDP,1,0,direct,achat,WB
2014,19,MEDP,1,3,direct,achat,WL
2017,19,DROIT,1,1,direct,don,32
2016,19,SCIEN,0,1,direct,achat,55
2017,19,SCIEN,0,0,direct,achat,61
2017,19,SCIEN,1,0,direct,achat,61
2013,19,LASH,1,4,direct,achat,30
2015,19,LASH,1,2,direct,achat,91
2015,19,MEDP,0,2,direct,achat,WO
2016,19,LASH,1,1,direct,achat,84
2013,19,LASH,1,4,direct,achat,30
2012,19,LASH,1,3,direct,achat,43
2017,19,SJA,1,0,direct,achat,65
1984,19,SJA,0,33,direct,don,96
2017,18,MEDP,1,0,direct,achat,WH
2015,19,SCIEN,1,0,direct,achat,51
1991,19,LASH,0,24,indirect,don,numinv
1971,19,LASH,0,49,direct,achat,19
1898,19,LASH,0,117,indirect,don,numinv
2006,19,LASH,1,9,direct,don,14
2014,19,DROIT,0,1,direct,don,94
2014,19,LASH,0,4,direct,don,94
2014,19,SJA,1,1,direct,achat,33
1986,19,SJA,1,30,direct,don,36
1991,19,LASH,0,24,direct,don,85
2004,19,LASH,0,11,direct,achat,19
2004,19,LASH,1,11,direct,achat,12
1980,19,LASH,0,37,direct,achat,84
2015,19,DROIT,0,2,indirect,don,numinv
1966,19,DROIT,0,50,direct,achat,numinv
2016,19,LASH,0,0,direct,achat,15
2015,19,LASH,0,1,direct,achat,79
2014,19,SJA,0,1,direct,achat,33
2009,19,SJA,0,7,direct,don,65
2015,19,DROIT,1,1,direct,achat,34
2016,18,MEDP,1,0,direct,achat,WK
2014,19,SJA,1,2,direct,achat,33
1994,19,LASH,0,21,direct,achat,15
2014,19,SJA,1,3,direct,achat,32
2014,19,DROIT,1,1,direct,achat,32
2014,19,DROIT,1,1,direct,achat,32
2014,19,DROIT,1,1,direct,achat,32
2012,19,DROIT,1,3,direct,don,34
2014,19,SJA,0,1,direct,achat,30
2015,19,DROIT,1,0,indirect,achat,numinv
1964,19,DROIT,0,51,direct,achat,numinv
2015,19,EPU,1,0,direct,achat,62
2015,19,EPU,1,0,direct,achat,00
2010,19,DROIT,0,5,direct,achat,78
1970,19,SJA,0,50,direct,achat,33
1971,19,SJA,0,49,direct,achat,90
2014,19,LASH,1,1,direct,achat,39
2015,19,LASH,1,1,direct,achat,70
2014,19,LASH,1,2,direct,achat,75
2014,19,SJA,1,1,direct,achat,91
2015,19,SJA,0,4,direct,achat,65
2015,19,LASH,1,0,direct,achat,15
2014,19,LASH,1,1,direct,achat,70
2013,19,DROIT,1,2,direct,don,37
2016,19,DROIT,1,0,direct,achat,34
2015,19,DROIT,0,1,direct,achat,34
2016,18,MEDP,0,1,direct,achat,WL
2014,19,LASH,1,2,direct,achat,65
2016,19,SCIEN,1,0,direct,achat,00
2015,19,LASH,1,1,direct,achat,30
2012,19,LASH,1,3,direct,achat,43
1980,19,LASH,1,35,direct,don,94
1937,19,DROIT,0,78,direct,achat,numinv
2015,19,SCIEN,0,1,direct,achat,00
2008,19,SJA,0,7,direct,don,33
2016,19,SJA,0,0,direct,don,37
2014,19,LASH,0,1,direct,don,36
2015,19,LASH,1,1,direct,achat,07
2013,19,LASH,0,3,direct,achat,83
1996,19,LASH,0,20,direct,achat,95
2015,19,DROIT,1,1,direct,achat,32
2016,19,SJA,1,0,direct,achat,QS
2016,19,MEDP,1,0,direct,achat,WL
1989,19,LASH,0,31,indirect,achat,numinv
1970,19,LASH,0,50,indirect,achat,numinv
2016,19,SCIEN,1,0,direct,achat,66
2016,19,SCIEN,1,0,direct,achat,61
2016,19,SCIEN,1,0,direct,achat,65
2016,19,STAPS,0,2,direct,don,79
2016,19,STAPS,1,0,direct,achat,79
1991,19,DROIT,1,26,direct,achat,32
1990,19,SJA,0,31,direct,don,33
2016,19,DROIT,1,0,direct,achat,34
2016,18,ARCHE,0,0,direct,achat,W 
2011,19,DROIT,1,5,direct,achat,34
2014,19,DROIT,1,2,direct,achat,34
2014,19,DROIT,1,1,direct,achat,34
2015,19,SCIEN,1,0,direct,achat,53
2015,19,SCIEN,0,0,direct,achat,53
2014,19,LASH,1,1,direct,achat,15
1965,19,DROIT,0,50,direct,achat,numinv
2014,18,MEDP,1,1,direct,achat,QZ
2014,18,ARCHE,0,1,direct,achat,WB
2014,19,LASH,1,1,direct,don,94
2011,19,SJA,0,10,direct,don,65
2007,19,LASH,0,10,indirect,don,numinv
2014,19,SJA,1,1,direct,achat,33
2016,18,MEDP,1,0,direct,achat,WG
2015,18,SJA,1,1,direct,achat,WB
2016,18,ARCHE,0,0,direct,achat,WM
2014,19,SJA,1,2,direct,don,34
2015,19,LASH,1,1,direct,achat,15
2017,19,SCIEN,0,0,direct,achat,65
2017,19,SCIEN,0,0,direct,achat,65
2011,19,LASH,0,4,direct,achat,79
2015,19,SJA,0,0,direct,achat,33
2008,19,LASH,0,9,indirect,don,numinv
2002,19,LASH,0,15,indirect,don,numinv
2017,19,DROIT,1,1,direct,achat,34
1991,19,LASH,0,27,indirect,achat,numinv
2015,19,SJA,0,1,direct,don,WU
2008,19,EPU,0,7,direct,achat,61
2013,19,SJA,1,3,direct,achat,33
2016,19,SCIEN,1,0,direct,achat,54
2015,19,EPU,1,1,direct,achat,54
2015,19,SCIEN,1,1,direct,achat,54
1970,19,LASH,0,45,indirect,don,numinv
2017,19,SJA,1,0,direct,achat,65
1982,19,LASH,0,39,direct,don,numinv
1981,19,SJA,1,36,direct,don,96
2017,19,DROIT,1,0,direct,don,34
2014,19,SCIEN,1,1,direct,achat,57
2014,19,SCIEN,1,1,direct,achat,57
2014,19,SCIEN,1,1,direct,achat,57
1997,19,DROIT,0,18,direct,achat,numinv
1986,19,LASH,1,30,direct,achat,19
2016,19,DROIT,1,0,direct,achat,34
2016,19,DROIT,1,0,direct,achat,34
2016,18,MEDP,1,0,direct,achat,WE
2016,18,SJA,1,0,direct,achat,61
2016,19,EPU,1,0,direct,achat,00
2016,18,SJA,0,0,direct,achat,WB
1933,19,LASH,0,82,direct,achat,46
2014,19,LASH,0,1,direct,don,95
2016,19,DROIT,0,1,direct,achat,34
2015,19,DROIT,1,2,direct,achat,34
2017,19,DROIT,1,0,direct,achat,34
2007,19,LASH,1,8,direct,achat,49
2015,19,LASH,1,1,direct,achat,90
2015,19,DROIT,1,1,direct,achat,34
2017,18,ARCHE,1,0,direct,achat,WB
2017,18,ARCHE,0,0,direct,don,WR
1973,19,LASH,0,47,indirect,don,numinv
2004,19,SJA,0,12,direct,don,32
2015,19,MEDP,1,0,direct,achat,QS
2002,19,LASH,0,13,direct,don,85
2014,19,DROIT,1,1,indirect,don,numinv
2010,19,STAPS,0,8,direct,achat,61
2011,19,SJA,1,8,direct,achat,WB
1974,19,DROIT,0,41,direct,achat,numinv
1971,19,SJA,1,48,direct,achat,30
1978,19,SJA,0,40,direct,don,33
1983,19,DROIT,0,32,direct,don,34
1998,19,DROIT,1,17,direct,don,34
2015,19,SCIEN,0,0,direct,achat,65
2014,19,STAPS,1,1,direct,achat,79
2013,19,STAPS,1,2,direct,achat,61
2007,19,SJA,1,14,direct,achat,65
1892,19,DROIT,0,123,direct,achat,numinv
2014,19,DROIT,0,1,direct,achat,32
2014,19,DROIT,1,1,direct,achat,33
2015,19,DROIT,1,0,direct,achat,37
2014,19,DROIT,1,1,direct,achat,32
2005,19,DROIT,0,10,direct,don,32
2012,19,SJA,1,3,direct,achat,42
2015,19,SCIEN,1,0,direct,achat,33
1969,19,SJA,1,48,direct,don,30
2012,19,SJA,1,4,direct,don,33
2016,19,SJA,1,0,indirect,achat,numinv
1991,19,LASH,0,24,indirect,don,numinv
1982,19,LASH,0,33,indirect,don,numinv
1986,19,LASH,0,29,indirect,don,numinv
2006,19,SJA,0,11,direct,achat,33
2003,19,SJA,1,14,direct,achat,33
2017,19,SJA,1,0,direct,achat,65
2017,19,SJA,0,0,direct,achat,33
2017,19,SJA,0,0,direct,achat,65
2017,19,SJA,1,0,direct,achat,65
2017,19,SJA,1,0,direct,achat,65
2015,19,LASH,1,2,direct,achat,94
2016,19,LASH,1,3,direct,achat,94
2017,19,LASH,1,0,direct,achat,93
2014,19,LASH,1,3,direct,achat,74
2017,19,LASH,1,0,direct,achat,94
2013,19,LASH,1,2,direct,achat,77
1971,19,DROIT,0,45,direct,achat,numinv
2017,19,SCIEN,0,0,direct,achat,33
2017,19,SCIEN,1,0,direct,achat,33
1966,19,SJA,0,51,direct,don,33
1972,19,LASH,0,46,indirect,achat,numinv
1990,19,DROIT,0,25,direct,don,94
2014,19,DROIT,1,2,direct,achat,34
1961,19,LASH,0,54,indirect,achat,numinv
2011,19,DROIT,1,4,direct,achat,32
2015,19,STAPS,1,0,direct,achat,79
1994,19,LASH,0,21,direct,don,19
2015,18,MEDP,1,1,direct,achat,WR
1981,19,LASH,0,35,indirect,don,numinv
1949,19,DROIT,0,66,direct,achat,numinv
2014,19,LASH,1,1,direct,don,80
1969,19,SJA,0,50,direct,don,15
2007,19,SJA,1,9,direct,don,33
1948,19,DROIT,0,67,direct,achat,numinv
1945,19,DROIT,0,70,direct,achat,numinv
2014,19,SJA,1,2,direct,achat,33
1996,19,LASH,0,19,direct,don,94
2014,19,SJA,0,1,direct,achat,65
2015,19,SJA,1,5,direct,achat,33
2015,19,EPU,1,0,direct,achat,54
2013,19,LASH,1,2,direct,achat,79
2013,19,LASH,1,2,direct,achat,70
2014,19,DROIT,1,1,direct,achat,32
2015,19,SCIEN,1,1,direct,achat,51
1992,19,LASH,1,23,direct,don,18
2015,19,SCIEN,1,0,direct,achat,51
2015,19,EPU,1,0,direct,achat,51
2014,19,DROIT,0,1,direct,achat,34
2014,19,SCIEN,1,1,direct,achat,55
2015,19,LASH,1,0,direct,achat,30
2015,19,LASH,1,0,direct,achat,30
2017,19,LASH,0,0,direct,achat,32
2014,19,SJA,0,2,direct,don,30
1993,19,DROIT,0,23,direct,don,32
2016,19,SJA,1,0,direct,achat,65
2011,19,LASH,0,5,direct,achat,40
2011,19,LASH,1,5,direct,achat,18
2016,18,ARCHE,0,0,direct,achat,WB
2016,19,SJA,1,0,direct,achat,WU
2016,19,SCIEN,1,0,direct,achat,02
2016,18,MEDP,1,0,direct,achat,WE
1976,19,LASH,0,45,indirect,don,numinv
2016,19,DROIT,1,1,direct,achat,34
2017,19,DROIT,0,0,direct,achat,34
2007,19,SJA,0,9,direct,achat,30
2013,19,SJA,0,3,direct,achat,32
1996,19,DROIT,0,20,direct,don,32
2015,19,DROIT,0,1,direct,achat,34
1990,19,LASH,0,28,direct,don,85
1971,19,LASH,1,46,direct,achat,19
2011,19,LASH,1,7,direct,don,85
1995,19,LASH,0,23,indirect,achat,numinv
2014,19,SJA,1,5,direct,achat,45
1991,19,LASH,1,26,direct,achat,40
2017,19,DROIT,1,0,direct,achat,32
2017,19,MEDP,1,0,direct,achat,WY
2017,18,SJA,0,0,direct,achat,61
2017,18,ARCHE,0,0,direct,achat,WB
1995,19,SJA,0,22,direct,don,00
2001,19,LASH,0,17,indirect,achat,numinv
2016,19,LASH,0,3,direct,achat,44
2017,19,DROIT,1,0,direct,achat,34
1968,19,SJA,0,49,direct,don,32
1985,19,LASH,0,33,indirect,achat,numinv
1990,19,LASH,0,28,indirect,achat,numinv
2015,19,LASH,0,2,direct,achat,79
2015,19,LASH,1,1,direct,achat,32
2017,19,SCIEN,1,0,direct,achat,33
1990,19,SJA,0,31,direct,don,33
2017,18,MEDP,1,0,direct,achat,WR
2017,18,ARCHE,0,0,direct,achat,WR
2016,19,DROIT,1,0,direct,achat,32
2016,19,LASH,1,1,direct,don,32
1992,19,DROIT,1,24,direct,don,34
2016,19,STAPS,0,0,direct,achat,79
2016,19,STAPS,1,0,direct,achat,79
2016,19,DROIT,1,0,direct,achat,34
2016,19,DROIT,1,0,direct,achat,34
2016,19,DROIT,1,0,direct,achat,32
2016,19,LASH,1,0,direct,achat,94
2016,19,STAPS,1,0,direct,achat,61
1995,19,DROIT,0,21,direct,don,34
2010,19,DROIT,1,6,direct,don,34
2016,19,MEDP,0,0,direct,achat,W 
2016,19,DROIT,1,0,direct,achat,34
2016,19,DROIT,1,0,direct,achat,34
2016,19,MEDP,0,0,direct,achat,QH
2012,19,SJA,0,7,direct,achat,33
1990,19,SJA,1,26,direct,don,30
2008,19,SJA,0,9,direct,achat,33
2016,19,SJA,1,0,direct,achat,15
2016,19,LASH,0,0,direct,achat,79
2016,19,SCIEN,1,0,direct,achat,61
2016,19,SCIEN,1,0,direct,achat,61
2016,19,DROIT,1,0,direct,achat,34
2016,19,DROIT,1,0,direct,achat,34
2013,19,DROIT,0,3,direct,achat,32
1964,19,LASH,0,56,indirect,achat,numinv
2016,19,LASH,1,0,direct,achat,42
2016,19,LASH,1,0,direct,achat,42
2016,19,MEDP,1,1,direct,achat,WX
2016,19,LASH,0,0,direct,achat,86
2016,19,DROIT,1,0,direct,don,34
2016,19,DROIT,1,0,direct,achat,34
2016,19,DROIT,0,0,direct,achat,34
2016,19,SJA,1,1,direct,achat,33
2016,19,MEDP,1,0,direct,don,QT
2016,19,DROIT,1,0,direct,achat,34
2016,19,SJA,1,0,direct,achat,65
2004,19,LASH,0,12,direct,achat,83
2016,19,LASH,1,1,direct,achat,65
2015,19,DROIT,0,1,direct,achat,34
1991,19,DROIT,1,25,direct,don,32
2016,19,DROIT,0,0,indirect,achat,numinv
2016,19,EPU,1,0,direct,achat,65
1977,19,SJA,0,40,direct,don,30
1990,19,LASH,1,25,direct,don,11
2014,19,DROIT,1,4,indirect,don,numinv
2013,19,LASH,0,3,indirect,don,numinv
2014,19,LASH,0,2,direct,achat,94
2015,19,LASH,0,1,direct,achat,94
2016,19,DROIT,1,0,direct,achat,34
1982,19,DROIT,0,34,indirect,don,numinv
1976,19,LASH,1,40,direct,achat,41
2016,19,SJA,1,4,direct,achat,65
2009,19,EPU,0,7,direct,don,54
2016,19,EPU,1,0,direct,achat,62
2015,19,EPU,1,1,direct,achat,65
1989,19,SJA,0,27,direct,achat,30
1994,19,SJA,1,22,direct,don,30
2014,19,LASH,0,2,direct,achat,84
2012,19,LASH,1,4,direct,achat,80
2016,19,MEDP,1,0,direct,achat,WY
2006,19,LASH,1,10,direct,achat,77
2013,19,DROIT,1,3,direct,achat,35
2016,19,DROIT,1,0,direct,achat,34
1968,19,LASH,0,52,direct,achat,19
